Nombre,Ubicacion,Salario,Habilidades Clave,Formacion,Experiencia,Modalidad,Url,Descripcion
Ingeniero redes & seguridad,Medellin,Salario a convenir,"Especializacion en Seguridad de la Informacion y Ciberseguridadla Informacion y Ciberseguridad
                                        
                                    Ingeniero de ciberseguridad",Especializacion,"5 anos de experiencia
        
          Contrato Indefinido
        1886352212",None,/co/ofertas-trabajo/ingeniero-redes-seguridad-1886352212,"Unete a nuestro equipo Renting Colombia y abraza los retos con pasion e innovacionSi te apasiona desarrollar e implementar arquitecturas de seguridad robustas que protejan los sistemas y redes de la organizacion Esta oportunidad es para ti  Algunos de tus retos seran: 1.	Apoyo en el diseno de Arquitecturas de Seguridad: Crear y desarrollar arquitecturas de seguridad robustas para proteger los sistemas y redes de la organizacion.2.     Proponer la Implementacion de Medidas de Seguridad:firewalls, sistemas de deteccion de intrusiones y otras herramientas de seguridad.3.      Supervision en el Desarrollo de Codigo Seguro: revisar codigo para asegurar que cumple con los estandares de seguridad y no contiene vulnerabilidades.
        

        
                Profesional
            
                Especializacion
            Ingenieria de telecomunicaciones5 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Supervisor de plataforma - medellin,Medellin,Salario a convenir,"lider
                                        
                                            coordinador
                                        
                                            supervsior
                                        
                                            seguridad
                                        
                                            scrum
                                        
                                            itil
                                        
                                    Ingeniero de ciberseguridad",Universitaria,"4 anos de experiencia
        
          Contrato Indefinido
        1886374980",None,/co/ofertas-trabajo/supervisor-de-plataforma-medellin-1886374980,"Profesional Universitario en Ingenieria de Sistema, electronica, telecomunicaciones o carreras afines.Minimo 4 anos de experiencia liderando equipos de personas de los cuales al menos 2 anos en gestion de proyectos de seguridad..    Certificaciones de Seguridad: Certificado profesional Scrum master Itil V4 FundamentosCertificado profesional de desarrollador Scrum·       Certificaciones/Cursos Deseables: Auditor interno ISO 27001
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria de redes y telecomunicaciones4 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Administrador gestion de identidades y acceso,Chia,$6 a $8 millones,"Active Directory
                                        
                                            Azure
                                        
                                            Office 365
                                        
                                    Ingeniero de ciberseguridad",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1886344516",None,/co/ofertas-trabajo/administrador-gestion-de-identidades-y-acceso-1886344516,"Importante compania ubicada en Chia Cundinmarca requiere Consultor Tecnico especialista en Active Directory IAM con experiencia en  3 a 5 anos de experiencia en cargos similares•	Conocimiento y experiencia en administracion Active Directory, Azure y Office 365 experiencia en cargos similares•	Certificaciones de Microsoft como MCSA, AZ-900, Azure Administrator •	Experiencia en configuracion de Active Directory, definicion de politicas y gestion de identidades y accesos (IAM)•	Experiencia en gestion de servicios de TI, certificacion ITIL (deseable)  HORARIO: lunes a viernes 9:00am a 6:00 pmMODALIDAD: Presencial ChiaBENEFICIOS: Medicina prepagada + almuerzo + posibilidad de visitar otros paises en LATAMCONTRATO: Indefinido, directo con la compania con todas las prestaciones legales  •	Ingles B2 conversacional o superior
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionOtros3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Especialista microsoft defender for endpoint,Remoto,Salario a convenir,"Ciberseguridad
                                        
                                            Seguridad
                                        
                                            Microsoft Defender
                                        
                                            Endpoint
                                        
                                            Firewall
                                        
                                            Cisco
                                        
                                            Firepower
                                        
                                    Ingeniero de ciberseguridad",Universitaria,"3 anos de experiencia
        
          Contrato Por obra o labor
        1886375193",None,/co/ofertas-trabajo/especialista-microsoft-defender-for-endpoint-1886375193,"Profesional en Ingenieria de Sistemas3 anos Especialista en Seguridad TI con experiencia en la configuracion, implementacion y administracion de Microsoft Defender for Endpoint y firewalls Cisco Firepower. Este rol es fundamental para garantizar la proteccion de los activos digitales y la gestion de la seguridad perimetral en entornos criticosExperiencia comprobada (minimo 3 anos): microsoft defender for endpoint y firewall cisco firepowerConfiguracion y administracion de Microsoft Defender for Endpoint.Implementacion y soporte de firewalls Cisco Firepower en entornos corporativos.Conocimientos en seguridad TI:Gestion de endpoints y seguridad perimetral.Respuesta a incidentes y analisis de amenazas.Protocolos de red y politicas de acceso.DeseablesMicrosoft Certified: Security, Compliance, and Identity Fundamentals (SC-900).Cisco Certified CyberOps Associate o CCNP Security.Certificaciones adicionales relacionadas con seguridad TI son un plus.BeneficiosContrato obra laborRemoto Salario a convenir
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  Computacion3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Analista junior de ciberseguridad,Bogota,"$2 a $2,5 millones","Firewall
                                        
                                            Seguridad informatica
                                        
                                            Vulnerabilidades
                                        
                                            SIEM
                                        
                                    Ingeniero de seguridad informatica",Universitaria,"1 ano de experiencia
        
          Contrato Indefinido
        1886375039",None,/co/ofertas-trabajo/analista-junior-de-ciberseguridad-1886375039,"Nos encontramos en la busqueda de un Analista de Ciberseguridad  para trabajar en una compania colombiana de tecnologia y transformacion digital. Requisitos:- Profesional en Ingenieria de sistemas. electronica o afines- Experiencia minima de 1 ano administrando firewall,  gestion de Incidentes de seguridad/ciberseguridad, monitoreo SIEM- Si tienes certificacion en Fortinet, Cisco, ITIL,  o alguna certificacion en redes de seguridad, es un plus.- Modalidad de trabajo presencial al norte de Bogota- Turnos rotativos 7*24, Los turnos que son de madrugada, domingos y festivos se hacen desde casa, la compania asume el valor del traslado del personal que sale muy tarde en la nocheTe ofrecemos un salario de $2'300.000, y  contrato directo e indefinido.
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionOtraIngenieria de redes y telecomunicaciones1 ano de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
N1 (monitorizacion) ciberseguridad,Remoto,"$5,5 a $6 millones","sistemas
                                        
                                            Python
                                        
                                            PowerShell
                                        
                                            ciberseguridad
                                        
                                            scripting
                                        
                                            automatizacion
                                        
                                            Ticketing
                                        
                                            Service Now
                                        
                                            jira
                                        
                                            SIEMS
                                        
                                    Analista de seguridad de la informacion",Universitaria,"Menos de un ano de experiencia
          
          Contrato Indefinido
        1886353662",None,/co/ofertas-trabajo/n1-monitorizacion-ciberseguridad-1886353662,"Compania lider en transformacion digital requiere profesional en Ingenieria de sistemas, Telecomunicaciones, carreras a fines Con experiencia de 6 meses en adelante como N1 o con roles similares en entornos de soporte, Conocimiento de ciberseguridad, Conocimiento de scripting o automatizacion (por ejemplo, Python, PowerShell). Conocimiento de conceptos y practica de ciberseguridad. Manejo en herramientas de Ticketing JIRA, Service Now o similar. Conocimiento de SIEMS y EDRs. Salario $ 5.500.000 + Prestaciones de Ley + Beneficios como Seguro de vida con Mapfre Seguros, Programa de Telemedicina 1DOC3, Bono que se paga anualmente del 4.17%, Programa de puntos redimibles con actividades de bienestar, descuentos en lineas fijas y moviles, Plataforma de educacion para hacer cursos, Posibilidad de pertenecer a la cooperativa de empleados.  Colombia Remoto. Contrato a termino indefinido directo con la compania. Jornada laboral turnos rotativos 7 x 24 de domingo a domingo.
        

        
                Profesional Junior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electricaIngenieria de redes y telecomunicacionesAdministracion de sistemas informaticosIngenierìa De SoftwareMenos de un ano de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Preventa ciberseguridad- infraestructura,Bogota,"$2,5 a $3 millones","ciberseguridad
                                        
                                    Tecnico de sistemas",Tecnico Laboral,"2 anos de experiencia
        
          Contrato Indefinido
        1886384427",None,/co/ofertas-trabajo/preventa-ciberseguridad-infraestructura-1886384427,"Importante empresa multinacional de tecnologia requiere para su equipo de trabajo Preventa de ciberseguridad, con 2 anos de experiencia en cargos similares con conocimiento y experiencia en seguridad, software en antivirus, ESET SonicWall y Kaspersky..Debe ser Estudiante Profesional en ingenieria de sistemas o afines.Condiciones de trabajo:Horario de lunes a viernes de 8 am a 6:00 pmSalario: A convenirModalidad: 100% PresencialLugar de trabajo: Siberia - Parque Empresarial Tecnologico kilometro 2 de la autopista via Medellin saliendo por la calle 80 via Siberia.Contamos con ruta desde bahia portal 80 (Bogota) hasta nuestras instalaciones, & Ruta desde municipios cercanos ( Madrid, Mosquera, y Funza) Hasta nuestras instalaciones
        

        
                Auxiliar, asistencial y otros
            
                Tecnico Laboral
            Ingenieria de sistemas  ComputacionIngenierìa De Software2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Administrador vmware defender,Bogota,Salario a convenir,"PALO ALTO NETWORKS (ONPREMISE - CLOUD)
                                        
                                            VMWARE DEFENDER (ONPREMISE).
                                        
                                            Especialista en Seguridad de Redes
                                        
                                    Ingeniero de ciberseguridad",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1886347525",None,/co/ofertas-trabajo/administrador-vmware-defender-1886347525,"Unete a Axity Colombia como Especialista en Seguridad de RedesQuienes somosEn Axity, transformamos el futuro digital de nuestros clientes a traves de soluciones innovadoras. Buscamos talentos apasionados por la tecnologia y la seguridad informatica.Que harasOptimizacion de Firewalls: Afinar el Firewall siguiendo las recomendaciones de Palo Alto Networks, creando un plan de trabajo con cronograma.Soporte Tecnico: Apoyar en la creacion y verificacion de informacion para VPN y reglas de Firewall.Generacion de Informes: Elaborar informes sobre incidentes, cumplimiento de SLA y calidad de atencion a usuarios.Comunicacion Proactiva: Establecer contacto directo con usuarios para resolver fallas tecnicas.Colaboracion Tecnica: Acompanar reuniones con areas relacionadas para solucionar inconvenientes en la infraestructura.Pruebas de DRP: Participar en pruebas de recuperacion de desastres conforme a los procesos del cliente.Revision de Politicas: Optimizar politicas de seguridad y revisar su cumplimiento en la plataforma.Requisitos:Formacion: Ingeniero en Sistemas, Electronica, Telecomunicaciones o afines.Experiencia: Minimo 3 anos en administracion y soporte de plataformas de seguridad, preferiblemente con VMware Threat Prevention.Conocimientos:Buenas practicas en gestion y operacion de plataformas de seguridad.Seguridad en entornos On-Premise y virtualizados.Certificaciones en seguridad de VMware (deseable).Que ofrecemosUn entorno de trabajo innovador y colaborativo.Oportunidades de crecimiento y desarrollo profesional.Proyectos desafiantes que impulsan tu carrera.Listo para el desafioEnvia tu hoja de vida y forma parte de nuestro equipo en Axity Colombia.
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria de telecomunicacionesIngenieria de redes y telecomunicaciones3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Ingeniero senior de ciberseguridad,Bogota,Salario a convenir,"Ingeniero de Ciberseguridad
                                        
                                            Ciberseguridad
                                        
                                            PCI DSS
                                        
                                    Ingeniero de sistemas
                                
                                    Ingeniero de ciberseguridad",Universitaria,"5 anos de experiencia
        
          Contrato Indefinido
        1886378655",None,/co/ofertas-trabajo/ingeniero-senior-de-ciberseguridad-1886378655,"Nuestro proposito es transformar paradigmas con pasion, esfuerzo y determinacion. Nos enorgullece estar comprometidos con el trabajo etico incansable para generar un impacto positivo. Somos un grupo empresarial enfocado en el cuidado y bienestar de todos nuestros colaboradores, buscamos fomentar el crecimiento sostenible y la creacion de valor con una orientacion firmemente establecida en el liderazgo, la integridad, la responsabilidad y la vision estrategica.Buscamos personas apasionadas por la seguridad informatica, que le gusten los retos, el crecimiento y los nuevos proyectos.  Si eres tu, APLICARequisitos-Profesional en Ingenieria de sistemas o afines. Certificado en Ciberseguridad-Experiencia minima de 5 anos en implementacion y certificacion de la Norma PCI DSS.-Conocimiento de seguridad en Cloud.-Conocimiento de Plataforma Linux y herramientas de Ciberseguridad-Certificados en Ciberseguridad CEH, Lead Cibersecurity Manager ISO/IEC 27032, ISO 27001 (No descartable)-Formacion Opcional: CISSP, CCSP, CISM, CEH.Ofrecemos -Contrato a termino indefinido directo con la compania.-Horario de lunes a viernes -Trabajo Hibrido-SALARIO A CONVENIR Segun experiencia.-Bono por Disponibilidad.-Beneficios de la Compania.Si estas interesado y cumples con el perfil, Postulate
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  Computacion5 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Gerente de producto - ciberseguridad,Cota,Salario a convenir,"radware
                                        
                                            Check Point
                                        
                                            hillstone
                                        
                                            ciberseguridad
                                        
                                            tecnologia
                                        
                                            ventas
                                        
                                            comercial
                                        
                                    Ingeniero de ciberseguridad
                                
                                    Gerente comercial
                                
                                    Lider comercial canal mayoristas
                                
                                    Analista comercial",Tecnologica,"5 anos de experiencia
        
          Contrato Indefinido
        1886368316",None,/co/ofertas-trabajo/gerente-de-producto-ciberseguridad-1886368316,"Te apasiona la tecnologia, las ventas y el servicio al cliente   Esta oferta es para ti Profesional o Tecnologo en carreras de sistemas, administrativas o comerciales con experiencia de 2 anos en venta de tecnologia.Ideal conocimiento en marcas radware Check Point y hillstone u otros productos de ciberseguridadPresencial Km 2 autopista Bogota – Medellin Horario de Lunes a viernes Contrato indefinido y directo con la compania
        

        
                Profesional Junior
            
                Tecnologica
            Ingenieria de sistemas  ComputacionAdministracion de sistemas informaticosIngenieria ComercialTecnologo en Sistemas5 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Especialista ciberseguridad aws,Bogota,Salario a convenir,"ingeniero
                                        
                                    Lider de seguridad de la informacion",Especializacion,"3 anos de experiencia
        
          Contrato Indefinido
        1886377448",None,/co/ofertas-trabajo/especialista-ciberseguridad-aws-1886377448,"El objetivo del cargo es apoyar los procesos de migracion y operacion de servicios en la nube de AWS, apoyando la definicion de arquitecturas, formando al equipo de trabajo y estandarizando los procesos de seguridad informatica. Es requerido 3 anos de experiencia en roles similares con soluciones de ciberseguridad onpremise y en nube publica, preferiblemente AWS.
        

        
                Profesional Senior
            
                Especializacion
            Ingenieria de sistemas  ComputacionIngenieria de redes y telecomunicacionesIngenierìa De Software3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Consultor ciberseguridad /infraestructura,Bogota,"$3 a $3,5 millones","PREVENTA
                                        
                                            TECNOLOGIA
                                        
                                    Ingeniero de software
                                
                                    Ingeniero de sistemas",Tecnico Laboral,"2 anos de experiencia
        
          Contrato Indefinido
        1886384444",None,/co/ofertas-trabajo/consultor-ciberseguridad--infraestructura-1886384444,"Importante empresa multinacional de tecnologia requiere para su equipo de trabajo Consultor de ciberseguridad e infraestructura, con 2 anos de experiencia en cargos similares con conocimiento y experiencia en seguridad, software en antivirus, y conocimientos en infraestructuraDebe ser Estudiante Profesional en ingenieria de sistemas o afines.Condiciones de trabajo:Horario de lunes a viernes de 8 am a 6:00 pmSalario: A convenirModalidad: 100% PresencialLugar de trabajo: Siberia - Parque Empresarial Tecnologico kilometro 2 de la autopista via Medellin saliendo por la calle 80 via Siberia.Contamos con ruta desde bahia portal 80 (Bogota) hasta nuestras instalaciones, & Ruta desde municipios cercanos ( Madrid, Mosquera, y Funza) Hasta nuestras instalaciones.
        

        
                Profesional
            
                Tecnico Laboral
            Ingenieria de sistemas  ComputacionIngenierìa De Software2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Consultor ciberseguridad /infraestructura,Bogota,"$2,5 a $3 millones","PREVENTA
                                        
                                            TECNOLOGIA
                                        
                                    Ingeniero de software
                                
                                    Ingeniero de sistemas",Tecnico Laboral,"2 anos de experiencia
        
          Contrato Indefinido
        1886379012",None,/co/ofertas-trabajo/consultor-ciberseguridad--infraestructura-1886379012,"Importante empresa multinacional de tecnologia requiere para su equipo de trabajo Consultor de ciberseguridad e infraestructura, con 2 anos de experiencia en cargos similares con conocimiento y experiencia en seguridad, software en antivirus, y conocimientos en infraestructuraDebe ser Estudiante Profesional en ingenieria de sistemas o afines.Condiciones de trabajo:Horario de lunes a viernes de 8 am a 6:00 pmSalario: A convenirModalidad: 100% PresencialLugar de trabajo: Siberia - Parque Empresarial Tecnologico kilometro 2 de la autopista via Medellin saliendo por la calle 80 via Siberia.Contamos con ruta desde bahia portal 80 (Bogota) hasta nuestras instalaciones, & Ruta desde municipios cercanos ( Madrid, Mosquera, y Funza) Hasta nuestras instalaciones.
        

        
                Profesional
            
                Tecnico Laboral
            Ingenieria de sistemas  ComputacionIngenierìa De Software2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Analista de seguridad informatica,Bogota,"$2,5 a $3 millones","ciberseguridad
                                        
                                    Analista de sistemas",Universitaria,"3 anos de experiencia
        
          Contrato Indefinido
        1886386944",None,/co/ofertas-trabajo/analista-de-seguridad-informatica-1886386944,"Finanzauto S.A. BIC, primera entidad financiera no bancaria certificada como empresa B, se encuentra en la busqueda de un ANALISTA DE SEGURIDAD INFORMATICA.Objetivo del Cargo:Apoyar la proteccion de datos y sistemas informaticos para fortalecer la seguridad cibernetica de la compania. El rol implica brindar soporte tecnico utilizando herramientas avanzadas de seguridad, detectar y analizar amenazas, ademas de seguir la implementacion de medidas preventivas y correctivas y proporcionar asistencia en la gestion de incidentes de seguridad.Requisitos:- Estudiante de ultimo semestre o graduado en Ingenieria de Sistemas, Electronica, Telecomunicaciones o carreras afines.- Preferiblemente con cursos o certificaciones en:Analisis de Vulnerabilidades y Pruebas de Penetracion.Administracion de Sistemas y Redes Seguras (CCNA).Certificaciones de Fortinet o relacionadas a Firewalls.Herramientas de Gestion de Tickets y Monitoreo de Sistemas de Seguridad.Sistemas Operativos: Windows, Linux, macOS.Tecnologias de seguridad como Antivirus, IDS, IPS, SIEM y Analisis de Vulnerabilidades.Configuracion y administracion de redes, analisis de trafico de red.Certificacion o curso en ISO 27001 y 27005.Experiencia:De uno a tres anos en roles de ciberseguridad, desarrollo seguro o gestion de aplicaciones y proyectos de seguridad informatica.Condiciones:- Horario: Lunes a viernes de 08:00 am a 05:30 pm.- Salario: $2.400.000 a $3.500.000 mas bono de alimentacion y prestaciones de ley.- Contrato indefinido.- Modalidad presencial.
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electronicaIngenieria de telecomunicaciones3 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Asesor comercial ciberseguridad,Bogota,"$1,5 a $2 millones","ciberseguridad
                                        
                                            seguridad perimetral
                                        
                                            ventas en ciberseguridad
                                        
                                    Jefe de mercadeo, publicidad y ventas
                                
                                    Ingeniero de ventas
                                
                                    Asesor comercial de ventas",Tecnico Laboral,"1 ano de experiencia
        
          Contrato Definido
        1886381083",None,/co/ofertas-trabajo/asesor-comercial-ciberseguridad-1886381083,"Eres apasionado por las ventas y tienes experiencia en el area comercial Estamos buscando a alguien como tu para unirse a nuestro equipoRequisitos:Experiencia: Minimo 1 ano como asesor comercial o en roles relacionados con ventas.Formacion: Tecnico, tecnologo o profesional en areas administrativas, comerciales o afines.Habilidades y competencias:Excelentes habilidades de comunicacion y negociacion.Actitud proactiva y orientacion al cliente.Capacidad para trabajar por objetivos y metas.Deseo de aprender y crecer profesionalmente.Responsabilidades:Identificar y captar clientes potenciales.Presentar y comercializar los productos/servicios de la empresa.Mantener y fortalecer las relaciones con los clientes actuales.Cumplir con las metas de ventas establecidas por la organizacion.Reportar avances y resultados al equipo de ventas.Te ofrecemos:Salario competitivo y atractivas comisiones por ventas.Capacitacion constante para mejorar tus habilidades.Oportunidades de crecimiento profesional dentro de la empresa.Un ambiente de trabajo dinamico y motivador.Te esperamos para construir juntos grandes resultados
        

        
                Profesional Junior
            
                Tecnico Laboral
            Administracion Comercial Y De Mercadeo1 ano de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Analista tic y ciberseguridad,Bucaramanga,"$1,5 a $2 millones","tecnico
                                        
                                            servicio al cliente
                                        
                                            administrador de sistemas informaticos
                                        
                                    Analista de seguridad de la informacion
                                
                                    Ingeniero de seguridad informatica
                                
                                    Tecnico en infraestructura de TI y redes
                                
                                    Tecnico de sistemas",Tecnologica,"2 anos de experiencia
        
          Contrato Definido
        1886380218",None,/co/ofertas-trabajo/analista-tic-y-ciberseguridad-1886380218,"Tecnologo o minimo 8 semestres aprobados de Ingenieria, en las areas de Electronica, Sistemas, Telecomunicaciones o carreras afines.Experiencia en areas de gestion y administracion de plataformas de antivirus, EDR, XDR, instalacion de agentes, configuracion de politicas, deseable experiencia en monitoreo de eventos, gestion y respuesta a incidentes.·    Conocimiento en redes LAN, protocolos de comunicaciones, modelo OSI.·  Experiencia en administracion de plataformas de copia de seguridad locales y en la nube.·    Indispensable experiencia en servicio al cliente.La redaccion de informes tecnicos y habilidades comunicativas son muy importantes para ocupar el cargo.Si cuenta con certificaciones de fabricantes como Fortinet, Sophos, Sentinel One sera un plus.
        

        
                Profesional
            
                Tecnologica
            Ingenieria electronicaIngenieria de telecomunicacionesAdministracion de sistemas informaticosTecnologia En Gestion De Sistemas De TelecomunicacionesTecnologo en Sistemas2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Analista de la  seguridad de la informacion y ciberseguridad,Bogota,Salario a convenir,"ciberseguridad
                                        
                                            administrador de sistemas informaticos
                                        
                                            sistemas
                                        
                                    Tecnico de sistemas",Tecnico Laboral,"1 ano de experiencia
        
          Contrato Indefinido
        1886371357",None,/co/ofertas-trabajo/analista-de-la-seguridad-de-la-informacion-y-ciberseguridad-1886371357,"Importante entidad de salud requiere de manera urgente: Tecnologo en area s de sistemas, electronica, telecomunicaciones, ciberseguridad. Debe contar con minimo 1 ano de experiencia en seguridad de la informacion y ciberseguridad.Condiciones: Horario: Lunes a viernes, 7: 00 am a 5:00pm / Sabados cada quince dias 7:00 am a 11:00 am.Salario: $ a convenir. Contrato a termino indefinido/ todas las prestaciones de ley.
        

        
                Auxiliar, asistencial y otros
            
                Tecnico Laboral
            Otra1 ano de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
N2 (monitorizacion de seguridad) ciberseguridad,Remoto,$6 a $8 millones,"sistemas
                                        
                                            Python
                                        
                                            PowerShell
                                        
                                            ciberseguridad
                                        
                                            scripting
                                        
                                            automatizacion
                                        
                                            Ticketing
                                        
                                            Service Now
                                        
                                            jira
                                        
                                            SIEMS
                                        
                                    Analista de seguridad de la informacion",Universitaria,"2 anos de experiencia
        
          Contrato Indefinido
        1886353679",None,/co/ofertas-trabajo/n2-monitorizacion-de-seguridad-ciberseguridad-1886353679,"Compania lider en transformacion digital requiere profesional en Ingenieria de sistemas, Telecomunicaciones, carreras a fines Experiencia minima de 2 anos en un rol similar o en N1, con capacidad de gestionar incidentes complejos. Conocimientos solidos en la gestion de incidentes, analisis forense basico y monitoreo de amenazas. Conocimiento practico de SIEM, EDR, WAF, sistemas de ticketing (JIRA, Service Now), y administracion de herramientas de ciberseguridad. Conocimiento avanzado de redes, sistemas operativos y herramientas de deteccion y respuesta. Manejo de herramientas de ticketing y monitoreo. Conocimientos de scripting (Python, PowerShell) y automatizacion de procesos. Conocimientos de conceptos y practicas avanzadas de ciberseguridad.Salario a convenir de acuerdo a experiencia + prestaciones de ley + Beneficios como Seguro de vida con Mapfre Seguros, Programa de Telemedicina 1DOC3, Bono que se paga anualmente del 4.17%, Programa de puntos redimibles con actividades de bienestar, descuentos en lineas fijas y moviles, Plataforma de educacion para hacer cursos, Posibilidad de pertenecer a la cooperativa de empleados.  Remoto a Nivel Colombia. Contrato a termino indefinido directo con la compania. Jornada laboral turnos rotativos 7 x 24 de domingo a domingo.
        

        
                Profesional Junior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electricaIngenieria de redes y telecomunicacionesAdministracion de sistemas informaticosIngenierìa De Software2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Analista ot o nozomi ciberseguridad,Medellin,$6 a $8 millones,"ot
                                        
                                            automatizacion
                                        
                                    Ingeniero de automatizacion
                                
                                    Desarrollador de software
                                
                                    Desarrollador backend
                                
                                    Analista de desarrollo de software",Universitaria,"2 anos de experiencia
        
          Contrato Indefinido
        1886339872",None,/co/ofertas-trabajo/analista-ot-o-nozomi-ciberseguridad-1886339872,"Compania lider en transformacion digital requiere Profesional en Ingenieria de Sistemas, Telecomunicaciones, Electronica o carreras afines. Conocimientos solidos en lenguaje de ciberseguridad, conocimientos en OT (o) en Nozomi Acumula minimo cuatro (4) anos de experiencia demostrable:Monitoreo TI (plataforma splunk o plataformas similares minimo 1 ano experiencia)Monitoreo OT (plataforma nozomi o similares 1 ano de experiencia)Plataformas Linux 1 anoSalario de $ 7.174.380  + prestaciones de ley +  Beneficios como Seguro de vida con Mapfre Seguros, Bono que se paga anualmente del 4.17% Programa de Telemedicina 1DOC3, Programa de puntos redimibles con actividades de bienestar, descuentos en lineas fijas y moviles, Plataforma de educacion para hacer cursos, Posibilidad de pertenecer a la cooperativa de empleados. Contrato a termino indefinido directo con la compania. Trabajo Remoto
        

        
                Profesional Senior
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electricaIngenieria electronicaIngenieria electromecanicaAdministracion de sistemas informaticos2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
Analista soc - turnos 7 x 24,Bogota,"$3 a $3,5 millones","analista
                                        
                                            ingeniero
                                        
                                            administrador de sistemas informaticos
                                        
                                    Analista de sistemas
                                
                                    Ingeniero de ciberseguridad",Universitaria,"2 anos de experiencia
        
          Contrato Indefinido
        1886377435",None,/co/ofertas-trabajo/analista-soc-turnos-7-x-24-1886377435,"Buscamos gente muy pila que le apasione el trabajo en ciberseguridad y que cuente con dos anos de experiencia en el sector, trabajando con herramientas como EDR, SIEM, IPS y relacionados. Es un trabajo que realiza turnos 7x24 en modalidad hibrida y con todos los recargos de ley.
        

        
                Profesional
            
                Universitaria
            Ingenieria de sistemas  ComputacionIngenieria electronicaIngenieria de redes y telecomunicaciones2 anos de experiencia
                1
                Vacante
            Habilidades claveTerminos que coinciden entre tu perfil y la oferta de trabajo (agregalos dentro de tu hoja de vida)​Cargos relacionados"
